time,low,high,open,close,volume
2020-01-02,38.461,41.803,41.803,39.831,3261.58323526
2020-01-03,39.825,44.062,39.943,43.704,5208.88486787
2020-01-04,42.667,47.395,43.76,46.285,5361.81558843
2020-01-05,45.03,64.49,46.039,51.006,42639.81322942
2020-01-06,50.723,57.75,51.052,56.793,28718.42259489
2020-01-07,53.182,57.749,56.793,54.472,16806.11706837
2020-01-08,50.934,56.933,54.614,52.463,15669.26736603
2020-01-09,49.601,53.1,52.178,50.621,6469.32498128
2020-01-10,49.7,57.212,50.513,56.81,11005.20266387
2020-01-11,55.648,68.315,56.931,63.5,39601.40573527
2020-01-12,61.364,67.99,63.0,66.321,18397.5236828
2020-01-13,63.591,71.548,66.155,69.464,17205.10208728
2020-01-14,69.392,91.059,69.707,88.944,82586.21991684
2020-01-15,88.46,144.996,89.156,132.004,184294.55690169
2020-01-16,112.452,134.25,132.973,127.064,79884.08996162
2020-01-17,108.27,127.652,127.003,112.737,58396.6953576
2020-01-18,96.104,116.706,113.501,101.47,51193.99959875
2020-01-19,91.338,109.456,101.506,105.203,44630.19028112
2020-01-20,100.0,115.25,105.101,108.92,44010.35599448
2020-01-21,104.252,114.199,108.926,110.07,21263.45580904
2020-01-22,106.291,113.001,110.007,107.439,13862.86190649
2020-01-23,97.645,107.441,107.441,102.228,20988.95734374
2020-01-24,93.034,104.002,102.617,100.4,17303.40840197
2020-01-25,97.091,104.0,100.25,101.5,9558.91772374
2020-01-26,100.137,112.931,101.5,111.527,27211.93006472
2020-01-27,111.101,125.0,111.101,112.802,47607.08435166
2020-01-28,110.767,117.326,112.602,116.096,17669.77493639
2020-01-29,114.382,128.208,115.667,121.141,32171.81576455
2020-01-30,117.221,125.528,122.001,122.283,23473.78651949
2020-01-31,112.816,124.5,122.166,116.084,17452.8921467
2020-02-01,114.58,119.5,116.084,116.268,11783.34145684
2020-02-02,112.114,117.399,116.482,114.013,14128.54555112
2020-02-03,113.703,117.314,114.0,115.042,7956.25428625
2020-02-04,108.042,116.0,115.016,110.362,12746.13617755
2020-02-05,109.615,124.417,110.363,122.996,20936.69671052
2020-02-06,118.101,124.1,123.0,120.032,16346.66647883
2020-02-07,117.226,122.782,120.032,118.568,11860.37764748
2020-02-08,111.991,131.978,118.7,126.1,46142.10351462
2020-02-09,124.069,130.797,126.497,128.359,15976.06120288
2020-02-10,123.4,128.952,128.358,127.681,15248.68417519
2020-02-11,123.786,133.543,127.654,129.701,22498.7006172
2020-02-12,129.601,137.909,130.017,133.858,17171.25958146
2020-02-13,126.741,137.75,133.598,130.885,17309.43871752
2020-02-14,128.185,134.45,130.853,133.246,9997.78369495
2020-02-15,115.571,133.713,133.454,120.805,15020.37104781
2020-02-16,99.79,124.386,120.8,111.39,16488.07410732
2020-02-17,101.608,116.95,111.261,114.995,15864.90217221
2020-02-18,107.056,118.0,115.0,116.049,13852.38588208
2020-02-19,104.0,116.091,115.782,104.575,16940.14706886
2020-02-20,100.0,107.03,104.528,105.334,13893.04781469
2020-02-21,103.193,110.273,105.031,107.807,8926.41161039
2020-02-22,102.697,110.0,107.681,104.247,9067.8549449
2020-02-23,103.732,110.61,104.203,108.312,10438.74152405
2020-02-24,99.541,109.27,108.102,103.542,8666.99252268
2020-02-25,94.01,103.791,103.787,95.494,12301.25706492
2020-02-26,80.0,96.713,95.386,84.555,27537.23874592
2020-02-27,80.01,97.52,84.154,89.205,24848.40102123
2020-02-28,83.001,92.812,89.562,88.462,14457.87011338
2020-02-29,85.171,90.444,88.619,85.402,6153.91907656
2020-03-01,83.047,89.745,85.468,84.458,8107.13892725
2020-03-02,83.974,92.776,84.21,90.403,11414.86937914
2020-03-03,86.923,90.836,89.932,88.786,5479.63916802
2020-03-04,85.443,90.097,88.934,86.832,5269.49859912
2020-03-05,87.164,92.78,87.164,89.999,9571.73888744
2020-03-06,89.084,94.385,89.999,94.0,9169.98628236
2020-03-07,87.358,94.444,94.0,88.394,6844.70420683
2020-03-08,73.024,88.166,88.166,73.711,19055.32077533
2020-03-09,67.104,75.72,73.7,73.768,22645.78025837
2020-03-10,71.403,76.446,73.569,74.728,10081.22572492
2020-03-11,67.156,75.211,74.607,72.15,6818.97569256
2020-03-12,42.101,72.587,72.15,44.686,52759.05994349
2020-03-13,33.55,54.794,44.652,51.678,68661.79125292
2020-03-14,45.121,52.779,51.698,46.105,16041.26785221
2020-03-15,45.47,51.987,46.002,47.706,13636.62462016
2020-03-16,38.078,47.71,47.708,43.52,22986.8236687
2020-03-17,42.582,47.184,42.998,45.933,13842.70035313
2020-03-18,45.189,65.5,45.995,63.127,78731.96428473
2020-03-19,56.603,71.229,62.789,65.668,79243.09370979
2020-03-20,61.126,78.088,65.618,71.887,62027.69383992
2020-03-21,67.484,75.5,71.731,71.586,40832.82841842
2020-03-22,61.053,73.588,71.487,62.229,30519.01727481
2020-03-23,60.496,72.258,62.248,71.525,21513.04288365
2020-03-24,67.901,75.0,71.662,70.014,24383.36260144
2020-03-25,66.66,70.65,69.91,68.01,11931.69950135
2020-03-26,66.661,68.91,68.251,68.569,6740.49381676
2020-03-27,60.0,73.0,68.512,67.791,41342.71826877
2020-03-28,62.121,67.746,67.746,65.635,14041.89526399
2020-03-29,60.332,65.935,65.656,60.57,9001.20480074
2020-03-30,60.353,67.438,60.571,65.876,13225.48748387
2020-03-31,64.169,66.575,65.876,65.079,5721.15692554
2020-04-01,62.281,66.847,65.011,65.926,7686.64659885
2020-04-02,64.0,71.5,66.1,67.599,12768.24630829
2020-04-03,66.24,71.0,67.599,67.339,5901.99480562
2020-04-04,66.933,69.619,67.477,68.431,5249.24786505
