"Date","Price","Open","High","Low","Vol.","Change %"
"03/02/2023","1,433.19","1,425.59","1,434.42","1,410.21","","0.40%"
"03/01/2023","1,427.52","1,432.67","1,442.30","1,424.51","","-0.31%"
"02/28/2023","1,431.94","1,428.52","1,439.46","1,424.78","","0.42%"
"02/27/2023","1,425.93","1,414.53","1,434.99","1,413.99","","0.89%"
"02/24/2023","1,413.35","1,438.69","1,440.32","1,403.82","","-1.66%"
"02/23/2023","1,437.22","1,427.31","1,444.40","1,418.34","","0.71%"
"02/22/2023","1,427.09","1,415.24","1,431.90","1,411.63","","0.67%"
"02/21/2023","1,417.62","1,453.40","1,453.67","1,415.63","","-2.63%"
"02/20/2023","1,455.92","1,455.16","1,457.72","1,453.20","","0.10%"
"02/17/2023","1,454.48","1,465.95","1,466.59","1,444.25","","-1.13%"
"02/16/2023","1,471.14","1,483.13","1,488.34","1,459.24","","-0.44%"
"02/15/2023","1,477.61","1,459.02","1,478.39","1,451.61","","1.11%"
"02/14/2023","1,461.39","1,447.67","1,467.26","1,433.31","","1.36%"
"02/13/2023","1,441.80","1,428.75","1,447.50","1,428.20","","0.55%"
"02/10/2023","1,433.93","1,452.79","1,455.99","1,426.12","","-1.47%"
"02/09/2023","1,455.34","1,472.12","1,491.81","1,450.91","","-1.07%"
"02/08/2023","1,471.10","1,484.14","1,496.65","1,469.81","","-0.85%"
"02/07/2023","1,483.69","1,477.83","1,487.63","1,459.21","","0.54%"
"02/06/2023","1,475.73","1,494.54","1,495.61","1,469.88","","-1.55%"
"02/03/2023","1,498.98","1,515.22","1,518.44","1,484.05","","-1.05%"
"02/02/2023","1,514.87","1,479.57","1,525.35","1,478.24","","2.79%"
"02/01/2023","1,473.78","1,430.26","1,483.45","1,429.99","","3.01%"
"01/31/2023","1,430.70","1,402.76","1,431.38","1,398.49","","1.85%"
"01/30/2023","1,404.76","1,429.56","1,563.13","1,403.36","","-1.61%"
"01/27/2023","1,427.78","1,413.08","1,433.71","1,408.09","","1.25%"
"01/26/2023","1,410.20","1,391.88","1,414.09","1,391.40","","1.38%"
"01/25/2023","1,390.98","1,399.39","1,400.24","1,367.26","","-0.53%"
"01/24/2023","1,398.39","1,408.21","1,410.81","1,393.81","","-0.29%"
"01/23/2023","1,402.48","1,374.82","1,403.62","1,374.06","","2.39%"
"01/20/2023","1,369.75","1,348.44","1,371.70","1,348.02","","1.58%"
"01/19/2023","1,348.39","1,370.75","1,371.29","1,344.68","","-1.84%"
"01/18/2023","1,373.68","1,375.01","1,403.84","1,371.10","","-0.12%"
"01/17/2023","1,375.37","1,363.60","1,376.47","1,359.41","","0.99%"
"01/16/2023","1,361.93","1,367.50","1,368.31","1,357.41","","-0.36%"
"01/13/2023","1,366.90","1,356.46","1,367.50","1,345.35","","0.72%"
"01/12/2023","1,357.14","1,340.36","1,359.87","1,331.68","","1.43%"
